Image Name,Spincoating Speed,Substrates preheated temperature,Solution preheated temperature,Composition,Antisolvent Used
Spinspeed 4000 vs 6000_6000_IPA_1_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_IPA_2_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_IPA_2_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Spinspeed 4000 vs 6000_6000_IPA_1_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_3.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,none used
Spinspeed 4000 vs 6000_4000_IPA_2_2.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_IPA_1_2.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Spinspeed 4000 vs 6000_4000_IPA_1_3.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Spinspeed 4000 vs 6000_4000_IPA_2_1.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Composition_AgBi4st1.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag2BiI5107_06_10.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5DYN1.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5DYN9.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_AgBi4st2.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_AgBiI407.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_AgBi4DYN4.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag3BiI6st5.tif,6000rpm 30s,25,25,Ag3BiI6,none used
Composition_AgBiI408.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag3BiI6st7.tif,6000rpm 30s,25,25,Ag3BiI6,none used
Composition_AgBi4st9.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag2BiI57.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag3BiI6st9.tif,6000rpm 30s,25,25,Ag3BiI6,none used
Composition_Ag2BiI56.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5107_06_11.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_AgBi4st0.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag3BiI6st8.tif,6000rpm 30s,25,25,Ag3BiI6,none used
Composition_AgBi4DYN5.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5DYN3.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5DYN0.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_AgBi4DYN3.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag2BiI512.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5107_06_09.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI5DYN2.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_AgBiI414.tif,6000rpm 30s,25,25,AgBiI4,none used
Composition_Ag3BiI6st6.tif,6000rpm 30s,25,25,Ag3BiI6,none used
Composition_Ag3BiI6st4.tif,6000rpm 30s,25,25,Ag3BiI6,none used
Composition_Ag2BiI58.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Composition_Ag2BiI513.tif,6000rpm 30s,25,25,Ag2BiI5,none used
Antisolvent_Tol_2_5.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_Tol_1_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_CB_1_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_none_2_5.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_none_1_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_IPA_2_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Antisolvent_CB_2_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_none_1_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_none_1_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_IPA_2_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Antisolvent_Tol_2_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_Tol_2_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_Tol_1_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_Tol_2_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_none_1_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_none_2_8.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_Tol_1_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_Tol_1_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_none_2_6.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_Tol_1_edge.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_Tol_2_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,toluene
Antisolvent_CB_1_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_CB_1_4.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_CB_1_5.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_none_2_7.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Antisolvent_IPA_2_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Antisolvent_CB_2_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_IPA_2_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Antisolvent_CB_2_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_CB_2_edge.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
Antisolvent_IPA_1_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Antisolvent_IPA_1_2.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Antisolvent_CB_1_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,chlorobenzene
